title,company,model,year,price,mileage,color,transmission,location,date_posted,features,detail_link
Chevrolet Optra 2006,Chevrolet,Optra,2006,"295,000 EGP","240,000 Km",Gray,N/A,El Haram,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/chevrolet/optra/6987662
Skoda Octavia RS 2025,Skoda,Octavia,2025,"3,550,000 EGP",N/A,Blue,N/A,Skoda Octavia RS,2025-06-03,Automatic,https://eg.hatla2ee.com/en/new-car/imported/skoda/Octavia-RS/6987657
Kia Shuma 1999,Kia,Shuma,1999,"220,000 EGP","250,000 Km",Silver,N/A,10th of Ramadan,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/kia/shuma/6987651
Kia Cerato 2016,Kia,Cerato,2016,"795,000 EGP","182,000 Km",White,N/A,Giza,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/kia/cerato/6985697
Skoda Fantasia 2010,Skoda,Fantasia,2010,"650,000 EGP","133,000 Km",Gray,N/A,Mokattam,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/skoda/fantasia/6987640
Ssang Yong Tivoli 2022,Ssang,Yong,2022,"1,200,000 EGP","27,000 Km",Dark blue,N/A,Beni Suef,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/ssang-yong/Tivoli/6987645
Citroën C5 2012,Citroën,C5,2012,"570,000 EGP","180,000 Km",Silver,N/A,Obour City,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/citroen/C5/6987646
Kia Forte 2011,Kia,Forte,2011,"715,000 EGP","160,000 Km",Black,N/A,Bilbeis,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/kia/forte/6987641
Mercedes GLC 200 2025,Mercedes,GLC,2025,"5,700,000 EGP",0 Km,Black,N/A,Tagamo3 - New Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/mercedes/GLC-200/6987643
Kia K3 2013,Kia,K3,2013,"740,000 EGP","145,000 Km",Silver,N/A,Cairo,2025-06-03,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/kia/K3/6987500
Chevrolet Optra 2021,Chevrolet,Optra,2021,"620,000 EGP","65,000 Km",Dark blue,N/A,El Haram,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/chevrolet/optra/6987638
Nissan Sentra 2024,Nissan,Sentra,2024,"855,000 EGP","29,000 Km",Petroleum,N/A,Tagamo3 - New Cairo,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/nissan/sentra/6987633
Mercedes C 180 2023,Mercedes,C,2023,"2,850,000 EGP","25,000 Km",White,N/A,Tagamo3 - New Cairo,2025-05-30,Automatic,https://eg.hatla2ee.com/en/car/mercedes/c-180/6985135
Changan CS 15 2022,Changan,CS,2022,"645,000 EGP","55,000 Km",Silver,N/A,Ismailia,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/changan/CS-15/6987581
Renault Duster 2020,Renault,Duster,2020,"800,000 EGP","107,000 Km",Brown,N/A,Aswan,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/renault/duster/6987613
Hyundai Matrix 2002,Hyundai,Matrix,2002,"420,000 EGP","220,000 Km",Green,N/A,Cairo,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/hyundai/matrix/6987582
Daewoo Lanos 2 2007,Daewoo,Lanos,2007,"285,000 EGP","190,000 Km",Red,N/A,Asyut,2025-06-03,Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/daewoo/lanos-2/6987610
Jeep Renegade 2023,Jeep,Renegade,2023,"1,500,000 EGP","28,000 Km",Petroleum,N/A,Nasr city,2025-06-03,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/jeep/Renegade/6987603
Chery Arrizo 5 2022,Chery,Arrizo,2022,"550,000 EGP","180,000 Km",Gray,N/A,Cairo,2025-06-03,Automatic,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6987598
Daewoo Lanos 2 2002,Daewoo,Lanos,2002,"275,000 EGP","160,000 Km",Dark green,N/A,Tanta,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/daewoo/lanos-2/6987593
Seat Ibiza 1993,Seat,Ibiza,1993,"110,000 EGP",N/A,Gold,N/A,Warraq,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/seat/ibiza/6987591
Hyundai Elantra 2008,Hyundai,Elantra,2008,"750,000 EGP","339,000 Km",Dark red,N/A,Tagamo3 - New Cairo,2025-06-03,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/elantra/6987534
Chevrolet Lanos 2010,Chevrolet,Lanos,2010,"280,000 EGP","270,000 Km",Black,N/A,Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6987567
Peugeot 508 2013,Peugeot,508,2013,"600,000 EGP","188,000 Km",Gray,N/A,Mokattam,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/peugeot/508/6987557
MG 750 2017,MG,750,2017,"560,000 EGP","145,000 Km",Black,Automatic,Tagamo3 - New Cairo,2025-06-03,Automatic | Remote Control,https://eg.hatla2ee.com/en/car/moris-garage/mg-750/6987568
Chevrolet Lanos 2010,Chevrolet,Lanos,2010,"250,000 EGP","350,000 Km",White,N/A,Shobra,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6987544
Daewoo Nubira 2 2006,Daewoo,Nubira,2006,"260,000 EGP","269,000 Km",Silver,N/A,El Haram,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6987550
Mercedes E 53 AMG 2022,Mercedes,E,2022,"6,000,000 EGP","50,000 Km",Black,N/A,Cairo,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/mercedes/E-53-AMG+/6987562
Fiat Tipo 2022,Fiat,Tipo,2022,"920,000 EGP","34,000 Km",Gray,N/A,Tagamo3 - New Cairo,2025-05-30,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/fiat/tipo/6984687
Nissan Pick up 2020,Nissan,Pick,2020,"675,000 EGP","210,000 Km",White,N/A,Khanka,2025-06-03,Air Conditioner | Power Steering,https://eg.hatla2ee.com/en/car/nissan/pick-up/6987560
Nissan Sunny 1995,Nissan,Sunny,1995,"220,000 EGP","400,000 Km",Gold,N/A,Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/nissan/sunny/6987554
Daewoo Lanos 2000,Daewoo,Lanos,2000,"220,000 EGP","200,000 Km",Dark grey,N/A,6 October,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/daewoo/lanos/6987552
Volkswagen Golf 7 2014,Volkswagen,Golf,2014,"890,000 EGP","283,000 Km",Dark grey,N/A,Tagamo3 - New Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/volks-wagen/Golf-7/6987548
Fiat Shahin 2007,Fiat,Shahin,2007,"150,000 EGP","200,000 Km",Blue,N/A,Al Shorouk,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/fiat/shahin/6987543
Hyundai IX 35 2016,Hyundai,IX,2016,"1,100,000 EGP","64,000 Km",Black,N/A,Sohag,2025-06-03,Automatic | Air Conditioner | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/IX-35/6987537
Kia K3 2016,Kia,K3,2016,"860,000 EGP","230,000 Km",Silver,N/A,Shobra,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/kia/K3/6987542
Speranza A113 2007,Speranza,A113,2007,"185,000 EGP","145,000 Km",Blue,N/A,Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/speranza/a113/6987540
Speranza A620 2007,Speranza,A620,2007,"285,000 EGP","126,000 Km",White,N/A,Giza,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/speranza/a620/6987511
Hyundai Matrix 2006,Hyundai,Matrix,2006,"425,000 EGP","208,000 Km",Dark blue,N/A,Luxor,2025-06-03,Automatic | Air Conditioner,https://eg.hatla2ee.com/en/car/hyundai/matrix/6987507
Fiat 128 2001,Fiat,128,2001,"70,000 EGP",N/A,White,N/A,Tanta,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/fiat/128/6987513
Skoda Fantasia 2010,Skoda,Fantasia,2010,"650,000 EGP","229,000 Km",Black,N/A,Cairo,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/skoda/fantasia/6987502
Hyundai Verna 2007,Hyundai,Verna,2007,"300,000 EGP","290,000 Km",White,N/A,Heliopolis,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/hyundai/verna/6987506
Fiat Tipo 2021,Fiat,Tipo,2021,"800,000 EGP","120,000 Km",Red,N/A,Giza,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/fiat/tipo/6987504
Chevrolet Pickup 2006,Chevrolet,Pickup,2006,"410,000 EGP","500,000 Km",White,N/A,Tanta,2025-06-03,N/A,https://eg.hatla2ee.com/en/car/chevrolet/pickup/6987498
Hyundai Matrix 2002,Hyundai,Matrix,2002,"430,000 EGP","325,000 Km",Silver,N/A,Dokki,2025-06-03,Automatic | Air Conditioner | Power Steering | Remote Control,https://eg.hatla2ee.com/en/car/hyundai/matrix/6987497
